Year,Original,Series or Movie,Films,Rating,Genre
2017.0,1.0,Movie,2,6.65,HISTORY
2017.0,1.0,Series,1,8.1,HISTORY
2018.0,0.0,Movie,43,6.565116279069768,HISTORY
2018.0,0.0,Series,15,7.6066666666666665,HISTORY
2018.0,1.0,Movie,4,6.550000000000001,HISTORY
2019.0,0.0,Movie,40,6.484999999999999,HISTORY
2019.0,0.0,Series,12,7.841666666666668,HISTORY
2019.0,1.0,Movie,7,7.085714285714286,HISTORY
2019.0,1.0,Series,5,7.640000000000001,HISTORY
2020.0,0.0,Movie,8,6.5125,HISTORY
2020.0,0.0,Series,15,7.1466666666666665,HISTORY
2020.0,1.0,Movie,2,6.949999999999999,HISTORY
2021.0,0.0,Movie,2,6.65,HISTORY
2010.0,0.0,Movie,18,5.622222222222223,HORROR
2010.0,0.0,Series,4,6.675,HORROR
2010.0,1.0,Series,1,6.0,HORROR
2011.0,0.0,Movie,29,5.76896551724138,HORROR
2011.0,0.0,Series,5,6.3,HORROR
2012.0,0.0,Movie,31,5.680645161290323,HORROR
2012.0,0.0,Series,5,6.960000000000001,HORROR
2013.0,0.0,Movie,47,5.63404255319149,HORROR
2013.0,0.0,Series,9,7.811111111111111,HORROR
2013.0,1.0,Movie,1,6.7,HORROR
2013.0,1.0,Series,1,7.1,HORROR
2014.0,0.0,Movie,41,5.573170731707317,HORROR
2014.0,0.0,Series,7,7.3,HORROR
2015.0,0.0,Movie,52,5.401923076923077,HORROR
2015.0,0.0,Series,9,7.2666666666666675,HORROR
2015.0,1.0,Movie,1,4.5,HORROR
2015.0,1.0,Series,1,4.6,HORROR
2016.0,0.0,Movie,53,5.645283018867924,HORROR
2016.0,0.0,Series,17,7.0058823529411764,HORROR
2016.0,1.0,Movie,3,3.6333333333333333,HORROR
2016.0,1.0,Series,2,6.35,HORROR
2017.0,0.0,Movie,85,5.597647058823529,HORROR
2017.0,0.0,Series,12,6.2749999999999995,HORROR
2017.0,1.0,Movie,5,5.58,HORROR
2017.0,1.0,Series,4,7.6499999999999995,HORROR
2018.0,0.0,Movie,107,5.440186915887851,HORROR
2018.0,0.0,Series,10,6.69,HORROR
2018.0,1.0,Movie,6,6.166666666666667,HORROR
2018.0,1.0,Series,8,7.125,HORROR
2019.0,0.0,Movie,79,5.351898734177215,HORROR
2019.0,0.0,Series,17,7.082352941176471,HORROR
2019.0,1.0,Movie,8,6.025,HORROR
2019.0,1.0,Series,7,6.1000000000000005,HORROR
2020.0,0.0,Movie,39,5.417948717948718,HORROR
2020.0,0.0,Series,14,6.471428571428571,HORROR
2020.0,1.0,Movie,8,5.0,HORROR
2021.0,0.0,Movie,3,6.266666666666667,HORROR
2021.0,0.0,Series,2,6.4,HORROR
2010.0,0.0,Movie,18,6.4944444444444445,MUSIC
2010.0,0.0,Series,4,7.05,MUSIC
2011.0,0.0,Movie,9,6.055555555555555,MUSIC
2011.0,0.0,Series,4,7.175,MUSIC
2012.0,0.0,Movie,16,6.5375,MUSIC
2012.0,0.0,Series,3,6.733333333333333,MUSIC
2013.0,0.0,Movie,19,6.742105263157894,MUSIC
2013.0,0.0,Series,2,6.1499999999999995,MUSIC
2013.0,1.0,Series,1,8.0,MUSIC
2014.0,0.0,Movie,16,6.5375,MUSIC
2014.0,0.0,Series,3,6.866666666666667,MUSIC
2014.0,1.0,Series,1,4.5,MUSIC
